label,formula,n_atoms,e_above_hull,converged,novel,decomp,unique,stable,SUN,pred_log10_sigma,pred_sigma_S_cm
gen_027,Li6PS,16,0.0354,True,True,Li3P+Li2S+Li,True,True,True,-6.6934153722294,2.0257443102576595e-07
gen_016,Li3PS4,8,0.006,True,True,Li3PS4,True,True,True,-6.83186212894312,1.472779976722883e-07
gen_055,Li3PS4,8,0.0056,True,True,Li3PS4,False,True,False,-6.861911277542929,1.374322708105987e-07
gen_060,LiP5S4,10,0.08,True,True,P4S3+Li3PS4+P,True,True,True,-6.8935301775364,1.2778204154105144e-07
gen_009,Li3PS4,8,0.0363,True,True,Li3PS4,True,True,True,-6.929868114530553,1.1752543990905177e-07
gen_006,Li4PS5,10,0.08,True,True,Li2S+Li3PS4+S,True,True,True,-6.938357378004554,1.1525044793280145e-07
gen_025,LiP4S5,10,0.0695,True,True,P4S3+P4S5+Li3PS4,True,True,True,-7.027071738419822,9.395680963019383e-08
gen_021,LiPS3,10,-0.0314,True,True,P2S5+Li3PS4,True,True,True,-7.115535644828884,7.664156338250999e-08
gen_040,Li8PS2,11,0.0189,True,True,Li3P+Li2S+Li,True,True,True,-7.123103451159841,7.531761319690804e-08
gen_038,Li7PS2,10,0.049,True,True,Li3P+Li2S,True,True,True,-7.178102062203217,6.635871045226837e-08
gen_039,LiPS3,10,-0.0309,True,True,P2S5+Li3PS4,False,True,False,-7.186715038388444,6.50556411853445e-08
gen_053,Li3P3S8,14,0.0128,True,True,P2S5+P4S7+Li3PS4,True,True,True,-7.2106098505237455,6.157297666198376e-08
gen_036,LiPS3,10,0.0045,True,True,P2S5+Li3PS4,True,True,True,-7.225346853367768,5.951866022854034e-08
gen_000,LiPS3,10,-0.0245,True,True,P2S5+Li3PS4,True,True,True,-7.225937825893482,5.9437724426715615e-08
gen_058,Li2P3S7,12,0.0505,True,True,P2S5+P4S7+Li3PS4,True,True,True,-7.260783595313331,5.485502340404265e-08
gen_003,LiP2S3,12,0.0668,True,True,P4S3+P4S5+Li3PS4,True,True,True,-7.361792959921386,4.3471741648363766e-08
gen_044,Li2PS3,6,0.0625,True,True,P4S3+P4S5+Li3PS4,True,True,True,-7.447735689969319,3.56668134306488e-08
gen_028,LiPS3,10,0.0194,True,True,P2S5+Li3PS4,True,True,True,-7.4493585469438415,3.553378359049804e-08
gen_013,LiPS3,10,-0.024,True,True,P2S5+Li3PS4,True,True,True,-7.468269047294225,3.4019737067586064e-08
gen_008,LiPS2,4,0.054,True,True,P4S3+P4S5+Li3PS4,False,True,False,-7.472798049886107,3.3666808610700635e-08
gen_045,Li3P3S8,14,0.0089,True,True,P2S5+P4S7+Li3PS4,True,True,True,-7.479567719713041,3.3146088095368445e-08
gen_020,LiPS3,10,0.0224,True,True,P2S5+Li3PS4,True,True,True,-7.488891228950255,3.2442085987108504e-08
gen_042,Li2P2S7,11,0.0036,True,True,P2S5+P2S7+Li3PS4,True,True,True,-7.490586280307054,3.231571130656875e-08
gen_034,Li2P2S7,11,0.0517,True,True,P2S5+P2S7+Li3PS4,True,True,True,-7.50503261948861,3.125844578782928e-08
gen_052,LiPS2,4,0.0544,True,True,P4S3+P4S5+Li3PS4,False,True,False,-7.52309608177643,2.998499068263096e-08
gen_048,LiPS3,10,0.0223,True,True,P2S5+Li3PS4,True,True,True,-7.529215403827154,2.9565456986191054e-08
gen_054,LiPS2,8,0.0199,True,True,P4S3+P4S5+Li3PS4,True,True,True,-7.541912694230072,2.8713577500838266e-08
gen_017,LiPS2,8,0.0312,True,True,P4S3+P4S5+Li3PS4,True,True,True,-7.542051699169684,2.8704388596564307e-08
gen_018,LiPS2,8,0.0722,True,True,P4S3+P4S5+Li3PS4,True,True,True,-7.543750561973487,2.8592322784450615e-08
gen_033,LiPS3,10,0.0225,True,True,P2S5+Li3PS4,False,True,False,-7.547465309884235,2.834880066000857e-08
gen_049,Li5PS4,10,0.087,True,True,Li2S+Li3PS4+P,True,True,True,-7.579134393610518,2.635515692112044e-08
gen_012,LiP2S5,8,0.0212,True,True,P2S5+P4S7+Li3PS4,True,True,True,-7.589590351370305,2.5728214545481197e-08
gen_005,Li3P5S6,14,0.0884,True,True,P4S3+Li3PS4+P,True,True,True,-7.592233723523231,2.5572093075361883e-08
gen_041,LiPS,6,0.0619,True,True,Li2S+Li3PS4+P,True,True,True,-7.597089078040433,2.528779265921021e-08
